pair,label,timeframe,timestamp,price,direction,confidence,stop_loss,take_profit,risk_reward_ratio,alerted,log_time
XBTUSD,BTC/USD,15m,2026-09-03T00:30:00,77007.6,SELL,75,77242.96228836698,76379.96723102142,2.666666666666605,True,2026-09-03T00:30:22.468545,2026-09-03T00:30:23.916561
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T00:30:00,4394.74,HOLD,25,,,,False,2026-09-03T00:30:24.279972
ETHUSD,ETH/USD,15m,2026-09-03T00:45:00,2382.34,SELL,50,2392.0364098208506,2356.4829071443987,2.6666666666666825,False,2026-09-03T00:45:21.637503
XBTUSD,BTC/USD,15m,2026-09-03T00:45:00,77059.3,SELL,50,77292.11911743796,76438.44902016543,2.666666666666729,False,2026-09-03T00:45:22.050705
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T00:45:00,4394.7,HOLD,25,,,,False,2026-09-03T00:45:22.433005
ETHUSD,ETH/USD,15m,2026-09-03T01:00:00,2378.69,SELL,75,2388.156358039121,2353.446378562344,2.6666666666666505,False,2026-09-03T01:00:22.572036
XBTUSD,BTC/USD,15m,2026-09-03T01:00:00,77036.0,SELL,75,77260.42459934908,76437.53440173577,2.666666666666775,False,2026-09-03T01:00:23.027835
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T01:00:00,4403.1,HOLD,0,,,,False,2026-09-03T01:00:23.535583
ETHUSD,ETH/USD,15m,2026-09-03T01:00:00,2383.69,SELL,50,2394.945643753407,2353.6749499909156,2.666666666666653,False,2026-09-03T01:11:07.413598
XBTUSD,BTC/USD,15m,2026-09-03T01:00:00,77236.7,SELL,50,77496.24602792051,76544.57725887863,2.666666666666629,False,2026-09-03T01:11:07.931891
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T01:00:00,4412.24,HOLD,0,,,,False,2026-09-03T01:11:08.405888
ETHUSD,ETH/USD,15m,2026-09-03T01:15:00,2386.86,HOLD,0,,,,False,2026-09-03T01:15:20.200232
XBTUSD,BTC/USD,15m,2026-09-03T01:15:00,77309.1,HOLD,50,,,,False,2026-09-03T01:15:20.528953
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T01:15:00,4408.49,HOLD,0,,,,False,2026-09-03T01:15:20.870216
ETHUSD,ETH/USD,15m,2026-09-03T01:30:00,2392.9,HOLD,50,,,,False,2026-09-03T01:30:18.259122
XBTUSD,BTC/USD,15m,2026-09-03T01:30:00,77429.1,HOLD,75,,,,False,2026-09-03T01:30:18.663304
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T01:30:00,4408.34,BUY,50,4400.604385708789,4428.968304776564,2.666666666666706,False,2026-09-03T01:30:18.997009
ETHUSD,ETH/USD,15m,2026-09-03T01:45:00,2388.0,HOLD,0,,,,False,2026-09-03T01:45:22.995617
XBTUSD,BTC/USD,15m,2026-09-03T01:45:00,77304.8,HOLD,50,,,,False,2026-09-03T01:45:23.518749
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T01:45:00,4413.97,HOLD,0,,,,False,2026-09-03T01:45:24.018268
ETHUSD,ETH/USD,15m,2026-09-03T02:00:00,2384.32,HOLD,0,,,,False,2026-09-03T02:00:23.135918
XBTUSD,BTC/USD,15m,2026-09-03T02:00:00,77309.1,HOLD,50,,,,False,2026-09-03T02:00:23.505417
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T02:00:00,4417.12,HOLD,0,,,,False,2026-09-03T02:00:23.885152
ETHUSD,ETH/USD,15m,2026-09-03T02:15:00,2389.21,HOLD,25,,,,False,2026-09-03T02:15:20.238940
XBTUSD,BTC/USD,15m,2026-09-03T02:15:00,77431.2,BUY,75,77167.20791135413,78135.17890305564,2.6666666666666115,False,2026-09-03T02:15:20.550820
XBTUSD,BTC/USD,15m,2026-09-03T02:15:00,77431.2,BUY,75,77167.20791135413,78135.17890305564,2.6666666666666115,True,2026-09-03T02:15:19.644809,2026-09-03T02:15:21.015242
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T02:15:00,4418.11,HOLD,25,,,,False,2026-09-03T02:15:21.329227
ETHUSD,ETH/USD,15m,2026-09-03T02:30:00,2393.81,HOLD,50,,,,False,2026-09-03T02:30:20.407691
XBTUSD,BTC/USD,15m,2026-09-03T02:30:00,77551.8,BUY,75,77288.33310580457,78254.37838452113,2.6666666666665932,False,2026-09-03T02:30:20.845329
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T02:30:00,4419.33,HOLD,25,,,,False,2026-09-03T02:30:21.352705
ETHUSD,ETH/USD,15m,2026-09-03T02:45:00,2402.84,HOLD,25,,,,False,2026-09-03T02:45:21.850038
XBTUSD,BTC/USD,15m,2026-09-03T02:45:00,77725.9,BUY,50,77449.31208475969,78463.46777397416,2.6666666666667194,False,2026-09-03T02:45:22.511663
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T02:45:00,4423.95,HOLD,25,,,,False,2026-09-03T02:45:23.129726
ETHUSD,ETH/USD,15m,2026-09-03T03:00:00,2403.88,HOLD,75,,,,False,2026-09-03T03:00:24.474695
XBTUSD,BTC/USD,15m,2026-09-03T03:00:00,77750.1,BUY,75,77476.47679551161,78479.7618786357,2.666666666666596,False,2026-09-03T03:00:24.936110
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T03:00:00,4427.16,HOLD,25,,,,False,2026-09-03T03:00:25.363284
ETHUSD,ETH/USD,15m,2026-09-03T03:15:00,2406.82,HOLD,75,,,,False,2026-09-03T03:15:19.780540
XBTUSD,BTC/USD,15m,2026-09-03T03:15:00,77792.0,BUY,75,77527.06316868181,78498.4982168485,2.66666666666663,False,2026-09-03T03:15:20.202899
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T03:15:00,4435.02,HOLD,25,,,,False,2026-09-03T03:15:20.548138
ETHUSD,ETH/USD,15m,2026-09-03T03:30:00,2402.87,HOLD,75,,,,False,2026-09-03T03:30:20.644855
XBTUSD,BTC/USD,15m,2026-09-03T03:30:00,77708.6,BUY,75,77444.33544508976,78413.30547976065,2.6666666666666115,False,2026-09-03T03:30:20.987851
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T03:30:00,4434.38,HOLD,25,,,,False,2026-09-03T03:30:21.332223
ETHUSD,ETH/USD,15m,2026-09-03T03:45:00,2399.02,HOLD,75,,,,False,2026-09-03T03:45:26.312006
XBTUSD,BTC/USD,15m,2026-09-03T03:45:00,77615.8,BUY,75,77357.21836962925,78305.351014322,2.666666666666629,False,2026-09-03T03:45:26.667515
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T03:45:00,4431.39,HOLD,25,,,,False,2026-09-03T03:45:27.056146
ETHUSD,ETH/USD,15m,2026-09-03T04:00:00,2402.34,HOLD,75,,,,False,2026-09-03T04:00:32.369806
XBTUSD,BTC/USD,15m,2026-09-03T04:00:00,77686.6,BUY,75,77436.276287258,78354.12990064532,2.6666666666665892,False,2026-09-03T04:00:32.876078
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T04:00:00,4436.1,HOLD,25,,,,False,2026-09-03T04:00:33.348696
